include,source,resourceName,pubSubDocument,publish_type_SOAP_EM_OHI,namespace,subscriberPortName,mapper,messageVariant,extraFilter,addResourcesAndQueryParams,storeToESER,end
y,umg.mobile.proxy,resourceavailabilitynotification,n/a,SOAP,,umg_r2_subscriber,resourceavailablenotificationmapper,raw,,n,y,end
y,umg.mobile.proxy,resourceavailabilitynotification,n/a,SOAP,,umg_d2_subscriber,resourceavailablenotificationmapper,raw,,n,y,end
y,umg.mobile.proxy,resourceavailabilitynotification,n/a,SOAP,,umg_digs_rav_subscriber,n/a,raw,,n,y,end
y,umg.mobile.proxy,resourceavailabilitynotification,n/a,SOAP,,umg_digs_rav_subscriber_qa,n/a,raw,,n,y,end
y,umg.pricing.gps,releaseprice,ohi_umg.pricing.gps_releaseprice_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_releaseprice_1_detail/19570825,umg_customorchestration,gpsReleasePriceDetailToGpsReleasePriceNotificationMapper,pubsubwrapped,,n,y,end
y,umg.pricing.gps,releaseprice,ohi_umg.pricing.gps_releaseprice_1_notification,Custom Orch,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_releaseprice_1_detail/19570825,umg_zeus_subscriber,n/a,pubsubwrapped,p.GpsReleasePriceRegion == "na" && ( p.SubscriberFilterValue == "umg" || p.SubscriberFilterValue == "multicompany"),n,y,end
y,umg.pricing.gps,releaseprice,ohi_umg.pricing.gps_releaseprice_1_notification,Custom Orch,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_releaseprice_1_detail/19570825,umg_dsc_subscriber,n/a,pubsubwrapped,p.GpsReleasePriceRegion == "intl" && ( p.SubscriberFilterValue == "umg" || p.SubscriberFilterValue == "multicompany"),n,y,end
y,umg.pricing.gps,releaseprice,ohi_umg.pricing.gps_releaseprice_1_notification,Custom Orch,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_releaseprice_1_detail/19570825,umg_digs_gps_subscriber,n/a,pubsubwrapped,p.SubscriberFilterValue == "umg" || p.SubscriberFilterValue == "multicompany",n,y,end
y,umg.pricing.gps,releaseprice,ohi_umg.pricing.gps_releaseprice_1_notification,Custom Orch,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_releaseprice_1_detail/19570825,sonydadc_gps_subscriber,n/a,pubsubwrapped,p.SubscriberFilterValue == "multicompany" || p.SubscriberFilterValue == "emi",n,y,end
y,umg.pricing.gps,resourceprice,ohi_umg.pricing.gps_resourceprice_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_resourceprice_1_detail/19570825,umg_customorchestration,gpsResourcePriceDetailToGpsResourcePriceNotificationMapper,pubsubwrapped,,n,y,end
y,umg.pricing.gps,resourceprice,ohi_umg.pricing.gps_resourceprice_1_notification,Custom Orch,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_resourceprice_1_detail/19570825,umg_zeus_subscriber,n/a,pubsubwrapped,p.Region == "na",n,y,end
y,umg.pricing.gps,resourceprice,ohi_umg.pricing.gps_resourceprice_1_notification,Custom Orch,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_resourceprice_1_detail/19570825,umg_dsc_subscriber,n/a,pubsubwrapped,p.Region == "intl",n,y,end
y,umg.pricing.gps,resourceprice,ohi_umg.pricing.gps_resourceprice_1_notification,Custom Orch,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_resourceprice_1_detail/19570825,sonydadc_gps_subscriber,n/a,pubsubwrapped,p.SubscriberFilterValue == "multicompany" || p.SubscriberFilterValue == "emi",n,y,end
y,umg.pricing.gps,trackprice,ohi_umg.pricing.gps_trackprice_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_trackprice_1_detail/19570825,umg_customorchestration,gpsTrackPriceDetailToGpsTrackPriceNotificationMapper,pubsubwrapped,,n,y,end
y,umg.pricing.gps,trackprice,ohi_umg.pricing.gps_trackprice_1_notification,Custom Orch,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_trackprice_1_detail/19570825,umg_zeus_subscriber,n/a,pubsubwrapped,p.GpsTrackPriceRegion == "na" && (p.SubscriberFilterValue == "umg" || p.SubscriberFilterValue == "multicompany"),n,y,end
y,umg.pricing.gps,trackprice,ohi_umg.pricing.gps_trackprice_1_notification,Custom Orch,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_trackprice_1_detail/19570825,sonydadc_gps_subscriber,n/a,pubsubwrapped,p.SubscriberFilterValue == "multicompany" || p.SubscriberFilterValue == "emi",n,y,end
y,umg.pricing.gps,releaseprice,ohi_umg.pricing.gps_releaseprice_1_notification,Custom Orch,http://schemas.umusic.com/servicemarket/ohi_umg.pricing.gps_releaseprice_1_detail/19570825,umg_digs_gps_subscriber_qa,n/a,pubsubwrapped,p.SubscriberFilterValue == "umg" || p.SubscriberFilterValue == "multicompany",n,y,end
y,umg.r2,pccompany,ohi_umg.r2_pccompany_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_pccompany_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,pccompany,ohi_umg.r2_pccompany_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_pccompany_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,project,ohi_umg.r2_project_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_project_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,project,ohi_umg.r2_project_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_project_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,role,ohi_umg.r2_role_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_role_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,role,ohi_umg.r2_role_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_role_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,release,ohi_umg.r2_release_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_release_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,release,ohi_umg.r2_release_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_release_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,release,ohi_umg.r2_release_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_release_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,releaselocal,ohi_umg.r2_releaselocal_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_releaselocal_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,resource,ohi_umg.r2_resource_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_resource_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,resource,ohi_umg.r2_resource_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_resource_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,resource,ohi_umg.r2_resource_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_resource_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,talent,ohi_umg.r2_talent_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_talent_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,talentname,ohi_umg.r2_talentname_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_talentname_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,talentname,ohi_umg.r2_talentname_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_talentname_1_detail/19570825,umg_grcs_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,talentname,ohi_umg.r2_talentname_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_talentname_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,controldata,ohi_umg.r2_controldata_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_controldata_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
