include,source,resourceName,pubSubDocument,publish_type_SOAP_EM_OHI,namespace,subscriberPortName,mapper,messageVariant,extraFilter,addResourcesAndQueryParams,storeToESER,end
n,bitmax,digitalassetupdatenotificationmessage,n/a,EM,,umg_lpi_subscriber_demo,n/a,raw,,y,n,end
n,gto,divisionlabel,ohi_gto_divisionlabel_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gto_divisionlabel_1_detail/19570825,disco_cla_subscriber,gta_divisionlabel_raw_mapper,pubsubwrapped,,y,y,end
n,gta,territorycountry,ohi_gta_territorycountry_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territorycountry_1_detail/19570825,disco_cla_subscriber,gta_territorycountry_raw_mapper,pubsubwrapped,,y,y,end
n,gta,country,ohi_gta_country_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_country_1_detail/19570825,disco_cla_subscriber,gta_country_raw_mapper,pubsubwrapped,,y,y,end
n,gta,territory,ohi_gta_territory_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territory_1_detail/19570825,disco_cla_subscriber,gta_territory_raw_mapper,pubsubwrapped,,y,y,end
n,umg.r2,ExternalKey,OHI_UMG.R2_ExternalKey_1_Detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_externalkey_1_detail/19570825,umg_digsreporting_subscriber_dev,n/a,pubsubwrapped,,n,y,end
n,umg.r2,ExternalKey,OHI_UMG.R2_ExternalKey_1_Detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_externalkey_1_detail/19570825,umg_digsreporting_subscriber,n/a,pubsubwrapped,,n,y,end
n,umg.r2,release,ohi_umg.r2_release_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_release_1_detail/19570825,umg_digsreporting_subscriber_dev,n/a,pubsubwrapped,,n,y,end
n,umg.r2,releaselocal,ohi_umg.r2_releaselocal_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_releaselocal_1_detail/19570825,umg_digsreporting_subscriber_dev,n/a,pubsubwrapped,,n,y,end
n,umg.r2,resource,ohi_umg.r2_resource_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_resource_1_detail/19570825,umg_digsreporting_subscriber_dev,n/a,pubsubwrapped,,n,y,end
n,umg.r2,talentname,ohi_umg.r2_talentname_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_talentname_1_detail/19570825,umg_digsreporting_subscriber_dev,n/a,pubsubwrapped,,n,y,end
n,umg.r2,controldata,ohi_umg.r2_controldata_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_controldata_1_detail/19570825,umg_digsreporting_subscriber_dev,n/a,pubsubwrapped,,n,y,end
n,umg.r2,pccompany,ohi_umg.r2_pccompany_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_pccompany_1_detail/19570825,umg_grcstraining_subscriber,n/a,pubsubwrapped,,n,y,end
n,umg.r2,project,ohi_umg.r2_project_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_project_1_detail/19570825,umg_grcstraining_subscriber,n/a,pubsubwrapped,,n,y,end
n,umg.r2,release,ohi_umg.r2_release_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_release_1_detail/19570825,umg_grcstraining_subscriber,n/a,pubsubwrapped,,n,y,end
n,umg.r2,resource,ohi_umg.r2_resource_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_resource_1_detail/19570825,umg_grcstraining_subscriber,n/a,pubsubwrapped,,n,y,end
n,umg.r2,talent,ohi_umg.r2_talent_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_talent_1_detail/19570825,umg_grcstraining_subscriber,n/a,pubsubwrapped,,n,y,end
n,umg.r2,talentname,ohi_umg.r2_talentname_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_talentname_1_detail/19570825,umg_grcstraining_subscriber,n/a,pubsubwrapped,,n,y,end
n,umg.r2,releaselocal,ohi_umg.r2_releaselocal_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_releaselocal_1_detail/19570825,umg_grcstraining_subscriber,n/a,pubsubwrapped,p.R2OriginatingIndicator == "y",n,y,end
n,umg.r2,resourcelocal,ohi_umg.r2_resourcelocal_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_resourcelocal_1_detail/19570825,umg_grcstraining_subscriber,n/a,pubsubwrapped,p.R2ResLocalOriginatingIndicator == "y",n,y,end
n,aspen,digitalassetupdatenotificationmessage,n/a,EM,,umg_lpi_subscriber_demo,n/a,raw,p.ReplyTo == "studiohub",y,n,end
y,aspen,digitalassetupdatenotificationmessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,p.ReplyTo == "rws",y,n,end
n,digiplug.anthologic,marketingandlegalrestrictionsnotification,n/a,SOAP,,umg_australia_subscriber,n/a,raw,,n,y,end
